combo_id,fold,val_auc,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
21,2,0.7745,64,2,0.5,0.7,0.001,0.001,100,128,0.0,0
21,3,0.7705,64,2,0.5,0.7,0.001,0.001,100,128,0.0,0
21,4,0.7561,64,2,0.5,0.7,0.001,0.001,100,128,0.0,0
22,0,0.7828,128,2,0.5,0.5,0.001,0.0001,100,64,0.1,0
22,1,0.7959,128,2,0.5,0.5,0.001,0.0001,100,64,0.1,0
22,2,0.8263,128,2,0.5,0.5,0.001,0.0001,100,64,0.1,0
22,3,0.7751,128,2,0.5,0.5,0.001,0.0001,100,64,0.1,0
22,4,0.7757,128,2,0.5,0.5,0.001,0.0001,100,64,0.1,0
23,0,0.79,128,3,0.3,0.5,0.001,0.0001,500,64,0.0,0
23,1,0.8464,128,3,0.3,0.5,0.001,0.0001,500,64,0.0,0
23,2,0.7902,128,3,0.3,0.5,0.001,0.0001,500,64,0.0,0
23,3,0.8063,128,3,0.3,0.5,0.001,0.0001,500,64,0.0,0
23,4,0.8289,128,3,0.3,0.5,0.001,0.0001,500,64,0.0,0
24,0,0.7421,128,3,0.5,0.5,0.005,0.001,100,64,0.1,0
24,1,0.7667,128,3,0.5,0.5,0.005,0.001,100,64,0.1,0
24,2,0.8288,128,3,0.5,0.5,0.005,0.001,100,64,0.1,0
24,3,0.7636,128,3,0.5,0.5,0.005,0.001,100,64,0.1,0
24,4,0.7385,128,3,0.5,0.5,0.005,0.001,100,64,0.1,0
25,0,0.7622,64,1,0.3,0.5,0.001,0.0001,500,128,0.0,0
25,1,0.7538,64,1,0.3,0.5,0.001,0.0001,500,128,0.0,0
25,2,0.8099,64,1,0.3,0.5,0.001,0.0001,500,128,0.0,0
25,3,0.7849,64,1,0.3,0.5,0.001,0.0001,500,128,0.0,0
25,4,0.8256,64,1,0.3,0.5,0.001,0.0001,500,128,0.0,0
26,0,0.748,256,3,0.5,0.3,0.005,0.0001,100,64,0.0,0
26,1,0.7557,256,3,0.5,0.3,0.005,0.0001,100,64,0.0,0
26,2,0.7566,256,3,0.5,0.3,0.005,0.0001,100,64,0.0,0
26,3,0.7294,256,3,0.5,0.3,0.005,0.0001,100,64,0.0,0
26,4,0.7743,256,3,0.5,0.3,0.005,0.0001,100,64,0.0,0
27,0,0.7587,128,4,0.5,0.3,0.005,0.001,500,64,0.1,10
27,1,0.7551,128,4,0.5,0.3,0.005,0.001,500,64,0.1,10
27,2,0.7704,128,4,0.5,0.3,0.005,0.001,500,64,0.1,10
27,3,0.763,128,4,0.5,0.3,0.005,0.001,500,64,0.1,10
27,4,0.7686,128,4,0.5,0.3,0.005,0.001,500,64,0.1,10
